S.R.No.,Title,Colors,Case_style,,
bhishoom-2-49.png,Touched My Heart,"brown , White","graphic, typography, humour, quirky",,
bhishoom-2-50.png,Brain Storm,"Black , Red , Green","graphic, typography, humour, comic-and-cartoon, quirky",,
bhishoom-2-51.png,Dinner with Batman,"Black , White , Yellow","graphic, comic-and-cartoon, famous, movies-and-television, humour, quirky",,
bhishoom-2-52.png,DJ FRANKENSTEIN,"Black , Green","graphic, comic-and-cartoon, party, movies-and-television, famous, music",,
bhishoom-2-53.png,Bas 2 Ghoont ,"Black , White , Red","party, comic-and-cartoon, typography, humour, desi, graphic",,
bhishoom-2-54.png,Do It MAHI Way!,"Black , Blue , White","graphic, sports, famous, desi",,
bhishoom-2-55.png,Do Not Escape,Grey,"humour, quirky, graphic, typography",,
bhishoom-2-56.png,Lal BULL,"Yellow , Red , Black","humour, typography, graphic, comic-and-cartoon, party, famous, animals, quirky",,
bhishoom-2-57.png,Dragon Ball Z,"Blue , Green","graphic, typography, quirky, comic-and-cartoon",,
bhishoom-2-58.png,Drink BEER save Water!,"Black , White , Red","graphic, comic-and-cartoon, quirky, party, humour",,
bhishoom-2-59.png,Eiffel Chain ?,"Red , Black","typography, humour, graphic, desi, party, quirky",,
bhishoom-2-60.png,Ek Hi Vajah ,"Red , Yellow , Orange","graphic, typography, humour, comic-and-cartoon, quirky, desi",,
bhishoom-2-61.png,B.tech Future ,"Black , Yellow","graphic, humour, quirky, desi, profession-and-personality",,
bhishoom-2-62.png,Evil Returns,Black,graphic,,
bhishoom-2-63.png,Fart Avengers,"Red , Yellow","comic-and-cartoon, quirky, humour, movies-and-television, famous",,
bhishoom-2-64.png,Chipkale Saiyaan ,"Yellow , Red , Blue","movies-and-television, typography, humour, graphic, famous",,
bhishoom-2-65.png,FIFA  Fever!,"Blue , Red , Orange","graphic, comic-and-cartoon, quirky, sports",,
bhishoom-2-66.png,Fight Club,"Black , Red","graphic, movies-and-television, famous",,
bhishoom-2-67.png,Finally Escaped!,"Red , Blue , White","typography, humour, quirky, comic-and-cartoon, graphic, weapon",,
bhishoom-2-68.png,Friendly Fire,"Blue , Black","typography, humour, quirky, comic-and-cartoon, graphic",,
bhishoom-2-69.png,Androids hunger,"Grey , Green","graphic, humour, quirky, comic-and-cartoon",,
bhishoom-2-70.png,Death by Petrol ,"Black , White","graphic, humour, quirky, auto-and-transportation",,
bhishoom-2-71.png,Funky Zombie!,"Black , Red , Blue","graphic, quirky",,
bhishoom-2-72.png,Genius Minds,"Black , Red","graphic, typography, quirky, humour",,
bhishoom-2-73.png,Steve Jobs,"Blue , purple , Yellow","famous, graphic",,
bhishoom-2-74.png,Daft Punk,Black,"graphic, famous, music",,
bhishoom-2-75.png,Bhojpuri Ghajini ,"Black , Orange , White","humour, graphic, quirky, movies-and-television, typography, desi",,
bhishoom-2-76.png,Ghost Rider!,"purple , Orange , Black","humour, quirky, graphic, auto-and-transportation",,
bhishoom-2-77.png,Girlfriend ERROR!,"Blue , White","humour, graphic, typography, quirky",,
bhishoom-2-78.png,Go Drunk,"Green , Black","graphic, quirky, movies-and-television, typography",,
bhishoom-2-79.png,Go Gloomy,"Red , White , brown","animals, comic-and-cartoon, graphic",,
bhishoom-2-80.png,Crime Master Gogo ,"Green , Black","quirky, comic-and-cartoon, movies-and-television, graphic, famous",,
bhishoom-2-81.png,Goten …BALL Z,"purple , Black , Orange","quirky, typography, graphic, comic-and-cartoon",,
bhishoom-2-82.png,Guruji Chelaji,"Red , Yellow , White","quirky, typography, humour, desi, graphic",,
bhishoom-2-83.png,Hass mat pagli,"Green , Black , White","graphic, typography, quirky, humour, desi, auto-and-transportation, party",,
bhishoom-2-84.png,It’s A Goal,"Orange , Green , White","sports, famous",,
bhishoom-2-85.png,Horn Stars,Red,"humour, quirky, graphic, typography, party, comic-and-cartoon",,
bhishoom-2-86.png,Hukka Bar,"purple , Orange","humour, quirky, graphic, typography, party",,
bhishoom-2-87.png,Hulk A saurus,"Green , purple","comic-and-cartoon, humour, graphic, quirky, animals, movies-and-television",,
bhishoom-2-88.png,Allergic,"Black , Red","typography, humour, quirky, party",,
bhishoom-2-89.png,I Can See Everything ,"Black , White , Orange","humour, typography, graphic, quirky, desi",,
bhishoom-2-90.png,WILL YOU !,"Black , White","humour, typography, graphic, party, quirky",,
bhishoom-2-91.png,I like You !,"Blue , White","graphic, typography, quirky, humour",,
bhishoom-2-92.png,Incredible India!,"Green , Red , pink","comic-and-cartoon, animals, graphic, quirky, desi, gym-and-health",,
bhishoom-2-93.png,Size Zero,"Black , Blue , White","comic-and-cartoon, humour, graphic, quirky, animals",,
bhishoom-2-94.png,Dragon Ball Z ,"Grey , Yellow","quirky, comic-and-cartoon, movies-and-television, graphic, movies-and-television, famous",,
bhishoom-2-95.png,Its Dragon Ball Z,"purple , brown","quirky, typography, comic-and-cartoon, graphic, famous, movies-and-television",,
bhishoom-2-96.png,Jab Tak Hai Jaan ,"Yellow , White , Red","quirky, desi, humour, movies-and-television, typography, comic-and-cartoon, graphic, animals, weapon",,
bhishoom-2-97.png,Jailer o Saurus,"Black , Green","graphic, animals, quirky, desi, movies-and-television, humour",,
bhishoom-2-98.png,Big Boss,Black,"graphic, famous, movies-and-television",,
bhishoom-2-99.png,Ashtronishing,"Black , khaki","graphic, music, humour, quirky",,
bhishoom-2-100.png,Khallas!,"Black , Blue , White","graphic, humour, quirky, animals, typography, weapon",,
bhishoom-2-101.png,Khopdi ,"Black , Blue , White","graphic, humour, quirky, weapon",,
bhishoom-2-102.png,KILL DILL,"Green , Black , White","graphic, typography, desi, party, humour, quirky",,
bhishoom-2-103.png,Killer App,"Grey , Green , Red","graphic, humour, typography, quirky",,
bhishoom-2-104.png,Lucky Guy,"Black , Orange","typography, desi, party, quirky, humour",,
