S.R.No.,Title,Colors,Case_style,,
322.jpg,Ek dum Jhakkas,"Red , Black , Yellow","movies-and-television, famous, humour, comic-and-cartoon, illustration",,
323.jpg,Bheja Fry,"Orange , Yellow , Brown","movies-and-television, typography, humour",,
324.jpg,Mogambo Khush Hua,"Red , Yellow , Black","movies-and-television, illustration, comic-and-cartoon, famous, typography",,
325.jpg,Ja simran ja,"Brown , Black , Yellow","movies-and-television, typography, humour, illustration",,
326.jpg,Bol Bachchan,"Black  , Blue , Brown","movies-and-television, illustration, comic-and-cartoon, famous",,
327.jpg,Drama queen,"Red , Yellow , Green","movies-and-television, typography, humour, illustration",,
328.jpg,Crime Master gogo,"Brown , Red , Black","humour, movies-and-television, illustration, comic-and-cartoon, famous",,
329.jpg,Samsung camera,"Red , Black","retro, 3d, quirky",,
330.jpg,Fire Alarm,"Red , White , Black","retro, 3d, quirky",,
331.jpg,SLR Camera,"Black , Blue , White","retro, 3d, quirky",,
332.jpg,Iphone at back,"Black , White , Green","retro, 3d, quirky",,
333.jpg,Mobile Motherboard,"Black , Blue , White","retro, 3d, quirky",,
334.jpg,Typewriter,"White , Black  , Grey","retro, 3d, quirky",,
335.jpg,DJ Sound,"Black , White , Grey","retro, 3d, quirky",,
336.jpg,Vintage SwitchBoard,"Brown , White","retro, 3d, quirky",,
337.jpg,samurai Game remote,"White , Black , Red","retro, 3d, quirky",,
338.jpg,Vintage Clock,Red,"retro, 3d, quirky",,
339.jpg,Vintage Camera,"Black , Grey","retro, 3d, quirky",,
340.jpg,Retro Audio Cassette,"Black , White , Blue","retro, 3d, quirky",,
341.jpg,Vintage Cassette,"Blue , Black , White","retro, 3d, quirky",,
342.jpg,Retro Video Cassete,"Black , Red , White","retro, 3d, quirky",,
343.jpg,Boombox,"Black , White , Red","retro, 3d, quirky",,
344.jpg,Match box,"Black , Yellow , Red","retro, 3d, quirky",,
345.jpg,Milk Chocolate,"Brown , Blue , White","retro, 3d, quirky",,
346.jpg,Red Nail Paint,"Black , Red","retro, 3d, quirky, fashion",,
347.jpg,Pink Nail Paint,"Black , Pink","retro, 3d, quirky, fashion",,
348.jpg,Golden Nail Paint,"Black , Gold , Yellow","retro, 3d, quirky, fashion",,
349.jpg,Synthesizer,"Black , White","retro, 3d, quirky",,
350.jpg,Retro Cassette Player,"White , Black , Brown","retro, 3d, quirky",,
351.jpg,Polaroid Camera,"White , Black","retro, 3d, quirky",,
352.jpg,Retro Radio,"Black , Brown","retro, 3d, quirky",,
